,zeitpunkt,bruttolastgang,status
309,2022-01-04T05:15,57890.246108,E
310,2022-01-04T05:30,59297.679687,E
311,2022-01-04T05:45,61163.844423,E
312,2022-01-04T06:00,63440.401321,E
313,2022-01-04T06:15,67208.683701,E
314,2022-01-04T06:30,69980.600806,E
315,2022-01-04T06:45,72964.171277,E
316,2022-01-04T07:00,76111.347553,E
317,2022-01-04T07:15,80295.469427,E
318,2022-01-04T07:30,82677.424574,E
319,2022-01-04T07:45,85144.734621,E
320,2022-01-04T08:00,87207.137391,E
321,2022-01-04T08:15,89638.267318,E
322,2022-01-04T08:30,89852.306866,E
323,2022-01-04T08:45,91513.129892,E
324,2022-01-04T09:00,92655.794431,E
325,2022-01-04T09:15,93432.426199,E
326,2022-01-04T09:30,93525.445267,E
327,2022-01-04T09:45,94213.890924,E
328,2022-01-04T10:00,95190.562096,E
329,2022-01-04T10:15,96111.757205,E
330,2022-01-04T10:30,96108.687945,E
331,2022-01-04T10:45,95784.509554,E
332,2022-01-04T11:00,95668.292367,E
333,2022-01-04T11:15,95996.882977,E
334,2022-01-04T11:30,96822.034513,E
335,2022-01-04T11:45,97072.237264,E
336,2022-01-04T12:00,97729.226789,E
337,2022-01-04T12:15,97737.338009,E
338,2022-01-04T12:30,96433.447766,E
339,2022-01-04T12:45,95673.243766,E
340,2022-01-04T13:00,95282.586765,E
341,2022-01-04T13:15,94894.993353,E
342,2022-01-04T13:30,94869.534049,E
343,2022-01-04T13:45,93618.745163,E
344,2022-01-04T14:00,93891.125897,E
345,2022-01-04T14:15,93871.442535,E
346,2022-01-04T14:30,93289.515511,E
347,2022-01-04T14:45,92899.000721,E
348,2022-01-04T15:00,92831.655331,E
349,2022-01-04T15:15,92256.285439,E
350,2022-01-04T15:30,92809.759826,E
351,2022-01-04T15:45,92871.498395,E
352,2022-01-04T16:00,93030.350358,E
353,2022-01-04T16:15,93920.846352,E
354,2022-01-04T16:30,96077.167255,E
355,2022-01-04T16:45,96627.284099,E
356,2022-01-04T17:00,98032.792655,E
357,2022-01-04T17:15,98796.705452,E
358,2022-01-04T17:30,99299.466404,E
359,2022-01-04T17:45,99262.890525,E
360,2022-01-04T18:00,99557.566601,E
361,2022-01-04T18:15,99484.442796,E
362,2022-01-04T18:30,99314.405984,E
363,2022-01-04T18:45,97860.087119,E
364,2022-01-04T19:00,95693.883557,E
365,2022-01-04T19:15,94016.095194,E
366,2022-01-04T19:30,92770.769961,E
367,2022-01-04T19:45,91479.220798,E
368,2022-01-04T20:00,90540.466648,E
369,2022-01-04T20:15,88115.943271,E
370,2022-01-04T20:30,85782.690284,E
371,2022-01-04T20:45,83671.233541,E
372,2022-01-04T21:00,82117.96617,E
373,2022-01-04T21:15,79996.645336,E
374,2022-01-04T21:30,78024.135291,E
375,2022-01-04T21:45,75596.997422,E
